book_id,publishing_year,title,author,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,sales_rank,company_revenue,sales_month
103,1991,Sofies Verden,"Jostein Gaarder, Paulette MÃ¸ller",3.88,109692,genre fiction,10224.0,6134.4,10.65,Penguin Group (USA) LLC,960,292,4089.6,1
104,1950,The Martian Chronicles,Ray Bradbury,4.12,143236,genre fiction,1880.55,0.0,1.99,"Amazon Digital Services,  Inc.",945,293,1880.55,1
105,2010,A Visit From the Goon Squad,Jennifer Egan,3.64,120126,genre fiction,4690.6,2814.36,4.99,Macmillan,940,294,1876.24,1
106,1880,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",3.97,144497,genre fiction,3730.65,2238.39,3.99,Penguin Group (USA) LLC,935,295,1492.26,1
107,2002,Prey,Michael Crichton,3.72,131352,genre fiction,1850.7,0.0,1.99,"Amazon Digital Services,  Inc.",930,296,1850.7,1
108,1956,The Last Battle,C.S. Lewis,4.02,158701,genre fiction,5980.0,3588.0,6.5,"Amazon Digital Services,  Inc.",920,297,2392.0,1
109,2007,World Without End,Ken Follett,4.23,128715,genre fiction,905.85,543.51,0.99,Random House LLC,915,298,362.34,1
110,2008,Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",3.9,180961,fiction,7759.2,4655.52,8.48,"Amazon Digital Services,  Inc.",915,298,3103.68,1
111,2012,Slammed,Colleen Hoover,4.29,153882,genre fiction,900.9,0.0,0.99,"Amazon Digital Services,  Inc.",910,299,900.9,1
112,2007,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,3.84,150003,genre fiction,895.95,537.57,0.99,"Amazon Digital Services,  Inc.",905,300,358.38,1
113,1390,Tales of Caunterbury,"Geoffrey Chaucer, Nevill Coghill",3.48,148480,genre fiction,891.0,0.0,0.99,"Amazon Digital Services,  Inc.",900,301,891.0,1
114,2006,Baby Proof,Emily Giffin,3.71,124371,nonfiction,5841.0,3504.6,6.49,Macmillan,900,301,2336.4,1
115,2011,Inheritance,Christopher Paolini,4.08,146905,nonfiction,10731.05,6438.63,11.99,Random House LLC,895,302,4292.42,1
116,2009,ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],"Haruki Murakami, Jay Rubin, Philip Gabriel",3.89,125195,genre fiction,2661.1,0.0,2.99,"Amazon Digital Services,  Inc.",890,303,2661.1,1
117,1852,Uncle Tom's Cabin or Life Among the Lowly,Harriet Beecher Stowe,3.83,137858,fiction,1771.1,1062.66,1.99,HarperCollins Publishers,890,303,708.44,1
118,1909,Le FantÃ´me de l'OpÃ©ra,"Gaston Leroux, Alexander Teixeira de Mattos",3.97,141110,genre fiction,3531.15,0.0,3.99,"Amazon Digital Services,  Inc.",885,304,3531.15,1
